timestamp_utc,repo,pkgname,event,from_version,to_version
2026-08-11T06:33:56Z,custom,imhex,seeded,,1.38.1-1
2026-08-11T06:33:56Z,custom,ipscan,seeded,,3.9.3-1
2026-08-11T06:33:56Z,custom,kwin-scripts-xeros-tiling-window-manager-git,seeded,,1.1-1
2026-08-11T06:33:56Z,custom,libfprint-elanmoc2-slg3-git,seeded,,1.94.0+0da15123-1
2026-08-11T06:33:56Z,custom,libfprint-elanmoc2-slg3-git-debug,seeded,,1.94.0+0da15123-1
2026-08-11T06:33:56Z,custom,ttf-nanum,seeded,,2018-1
2026-08-11T06:33:56Z,ghidra,ghidra-noprompt,seeded,,12.1.2-1
2026-08-11T06:33:56Z,orca,orca-slicer-git,seeded,,2.5.0.r30091.c806a09-1
2026-08-11T06:33:56Z,orca,orca-slicer-git-extras,seeded,,2.5.0.r30091.c806a09-1
2026-08-13T06:13:37Z,orca,orca-slicer-git,updated,2.5.0.r30091.c806a09-1,2.5.0.r30098.d322b1a-1
2026-08-13T06:13:37Z,orca,orca-slicer-git-extras,updated,2.5.0.r30091.c806a09-1,2.5.0.r30098.d322b1a-1
2026-08-14T05:53:21Z,orca,orca-slicer-git,updated,2.5.0.r30098.d322b1a-1,2.5.0.r30104.d5dbd96-1
2026-08-14T05:53:21Z,orca,orca-slicer-git-extras,updated,2.5.0.r30098.d322b1a-1,2.5.0.r30104.d5dbd96-1
2026-08-16T00:57:44Z,custom,imhex,updated,1.38.1-1,1.38.1-2
2026-08-17T05:41:16Z,orca,orca-slicer-git,updated,2.5.0.r30104.d5dbd96-1,2.5.0.r30106.f529692-1
2026-08-17T05:41:16Z,orca,orca-slicer-git-extras,updated,2.5.0.r30104.d5dbd96-1,2.5.0.r30106.f529692-1
2026-08-18T06:10:25Z,orca,orca-slicer-git,updated,2.5.0.r30106.f529692-1,2.5.0.r30109.ba22a87-1
2026-08-18T06:10:25Z,orca,orca-slicer-git-extras,updated,2.5.0.r30106.f529692-1,2.5.0.r30109.ba22a87-1
2026-08-19T05:21:53Z,orca,orca-slicer-git,updated,2.5.0.r30109.ba22a87-1,2.5.0.r30112.4fd7fdb-1
2026-08-19T05:21:53Z,orca,orca-slicer-git-extras,updated,2.5.0.r30109.ba22a87-1,2.5.0.r30112.4fd7fdb-1
2026-08-19T08:55:56Z,ghidra,ghidra-noprompt,updated,12.1.2-1,12.1.3-1
2026-08-20T01:27:33Z,custom,accounts-qml-module,added,,0.7-8
2026-08-20T01:27:33Z,custom,build2,added,,0.18.1-1
2026-08-20T01:27:33Z,custom,libcutl,added,,1.11.0-4
2026-08-20T01:27:33Z,custom,libkolabxml,added,,1.3.1-10
2026-08-20T01:27:33Z,custom,libpthread-stubs,added,,0.5-1
2026-08-20T01:27:33Z,custom,libxsd,added,,4.2.0-2
2026-08-20T01:27:33Z,custom,libxsd-frontend,added,,2.1.0-3
2026-08-20T01:27:33Z,custom,litehtml0.9,added,,0.9-4
2026-08-20T01:27:33Z,custom,python-async-timeout,added,,5.0.1-2
2026-08-20T01:27:33Z,custom,python-ffmpy,added,,1.0.0-1
2026-08-20T01:27:33Z,custom,python-music-tag,added,,0.4.3-1
2026-08-20T01:27:33Z,custom,python-pdm-pep517,added,,1:1.1.4-5
2026-08-20T01:27:33Z,custom,python-pwinput,added,,1.0.3-1
2026-08-20T01:27:33Z,custom,python-pytest-http-snapshot,added,,0.1.9-1
2026-08-20T01:27:33Z,custom,xsd,added,,4.2.0-2
2026-08-20T03:05:28Z,custom,python-librespot,added,,0.0.10-1
2026-08-20T03:05:28Z,custom,python-pyogg,added,,0.6.14a1-1
2026-08-20T06:02:24Z,orca,orca-slicer-git,updated,2.5.0.r30112.4fd7fdb-1,2.5.0.r30157.ba22973-1
2026-08-20T06:02:24Z,orca,orca-slicer-git-extras,updated,2.5.0.r30112.4fd7fdb-1,2.5.0.r30157.ba22973-1
2026-08-20T06:05:35Z,custom,llama.cpp-server-tray,added,,0.5-2
2026-08-20T06:05:35Z,custom,imhex,removed,1.38.1-2,
2026-08-20T06:05:35Z,custom,libfprint-elanmoc2-slg3-git-debug,removed,1.94.0+0da15123-1,
2026-08-20T23:03:45Z,custom,android-bash-completion,added,,r45.7b0eece-1
2026-08-20T23:03:45Z,custom,android-sdk-build-tools,added,,r37.0.0-2
2026-08-20T23:03:45Z,custom,android-sdk-cmdline-tools-latest,added,,23.0-1
2026-08-20T23:03:45Z,custom,android-sdk-platform-tools,added,,37.0.1-1
2026-08-20T23:03:45Z,custom,claude-code,added,,2.1.238-1
2026-08-20T23:03:45Z,custom,cline-cli,added,,3.0.55-1
2026-08-20T23:03:45Z,custom,cromite-bin,added,,148.0.7778.168-1
2026-08-20T23:03:45Z,custom,dex2jar,added,,2.4.34-1
2026-08-20T23:03:45Z,custom,electron37-bin,added,,37.10.3-1
2026-08-20T23:03:45Z,custom,electronwmd-appimage,added,,1.5.3-1
2026-08-20T23:03:45Z,custom,extract-xiso-git,added,,1:r49.b72e5b6-1
2026-08-20T23:03:45Z,custom,framework-laptop-kmod-dkms-git,added,,r22.6164bc3-1
2026-08-20T23:03:45Z,custom,fw-fanctrl,added,,1.1.0-1
2026-08-20T23:03:45Z,custom,fw-fanctrl-gui-bin,added,,0.1.1-1
2026-08-20T23:03:45Z,custom,gradle-bash-completion,added,,1.4.1-1
2026-08-20T23:03:45Z,custom,minissdpd,added,,1.6.0-1
2026-08-20T23:03:45Z,custom,platinum-md-appimage,added,,1.2.1-1
2026-08-20T23:03:45Z,custom,podctl-bin,added,,0.1.1-1
2026-08-20T23:03:45Z,custom,python-anthropic,added,,0.107.1-1
2026-08-20T23:03:45Z,custom,python-apkinspector,added,,1.3.6-2
2026-08-20T23:03:45Z,custom,python-argparse-from-file,added,,1.8-1
2026-08-20T23:03:45Z,custom,python-cyclopts,added,,4.21.0-1
2026-08-20T23:03:45Z,custom,python-docstring-parser,added,,0.18.0-1
2026-08-20T23:03:45Z,custom,python-jsonref,added,,1.1.0-1
2026-08-20T23:03:45Z,custom,python-mutf8,added,,1.0.6-7
2026-08-20T23:03:45Z,custom,python-openapi-pydantic,added,,0.5.1+r37+g0766d59-3
2026-08-20T23:03:45Z,custom,python-rich-rst,added,,2.1.0-1
2026-08-20T23:03:45Z,custom,python-standardwebhooks,added,,1.0.1-3
2026-08-20T23:03:45Z,custom,python-uncalled-for,added,,0.2.0-1
2026-08-20T23:03:45Z,custom,remarkable-cups,added,,1-1
2026-08-20T23:03:45Z,custom,rmapi,added,,0.0.34-2
2026-08-20T23:03:45Z,custom,snapd,added,,2.76.2-1
2026-08-20T23:03:45Z,custom,tcpping,added,,2.7-1
2026-08-20T23:03:45Z,custom,ttf-tahoma,added,,9.0-1
2026-08-20T23:03:45Z,custom,visual-studio-code-bin,added,,1.134.0-1
2026-08-20T23:03:45Z,custom,yay,added,,13.0.1-1
2026-08-20T23:03:45Z,custom,ytdlp-gui-bin,added,,3.5.1-1
2026-08-21T00:02:46Z,custom,aspnet-runtime-preview-bin,added,,1:11.0.0.sdk100preview7.26381.103-2
2026-08-21T00:02:46Z,custom,aspnet-targeting-pack-preview-bin,added,,1:11.0.0.sdk100preview7.26381.103-2
2026-08-21T00:02:46Z,custom,dotnet-host-preview-bin,added,,1:11.0.0.sdk100preview7.26381.103-2
2026-08-21T00:02:46Z,custom,dotnet-runtime-preview-bin,added,,1:11.0.0.sdk100preview7.26381.103-2
2026-08-21T00:02:46Z,custom,dotnet-sdk-preview-bin,added,,1:11.0.0.sdk100preview7.26381.103-2
2026-08-21T00:02:46Z,custom,dotnet-targeting-pack-preview-bin,added,,1:11.0.0.sdk100preview7.26381.103-2
2026-08-21T00:02:46Z,custom,ggml-sycl-f32-git,added,,r4365.8c63e70-1
2026-08-21T00:02:46Z,custom,python-frida-git,added,,17.17.0.r20.g44952c7-1
2026-08-21T00:02:46Z,custom,python-sentencepiece,added,,0.2.2-2
2026-08-21T00:02:46Z,custom,rapidraw-git,added,,1.6.1.r53.ge4d3c81-1
2026-08-21T00:02:46Z,custom,sentencepiece,added,,0.2.2-2
2026-08-21T01:37:53Z,custom,python-mutf8,updated,1.0.6-7,1.1.0-1
2026-08-21T04:24:18Z,custom,python-google-genai,added,,2.19.0-1
2026-08-21T06:04:25Z,orca,orca-slicer-git,updated,2.5.0.r30157.ba22973-1,2.5.0.r30183.6ef02a6-1
2026-08-21T06:04:25Z,orca,orca-slicer-git-extras,updated,2.5.0.r30157.ba22973-1,2.5.0.r30183.6ef02a6-1
2026-08-21T07:04:14Z,custom,claude-desktop,added,,1.32885.1-1
2026-08-21T07:04:14Z,custom,cline-cli,updated,3.0.55-1,3.0.56-1
2026-08-21T07:04:14Z,custom,fatx,added,,1.19-1
2026-08-21T07:04:14Z,custom,imhex,added,,1.38.1-2
2026-08-21T07:04:14Z,custom,jadx-ai-mcp-bin,added,,6.1.0-5
2026-08-21T07:04:14Z,custom,libkcompactdisc,added,,25.12.3-2
2026-08-21T07:04:14Z,custom,powershell,added,,7.6.3-7
2026-08-21T07:04:14Z,custom,python-beartype,added,,0.22.9-2
2026-08-21T07:04:14Z,custom,python-fastmcp,added,,3.4.7-5
