repo,pkgname,pkgver,arch,description,url,licenses,download_bytes,installed_bytes,built_utc,first_seen_utc,last_updated_utc,filename
custom,accounts-qml-module,0.7-8,x86_64,Expose the Online Accounts API to QML applications,https://gitlab.com/accounts-sso/accounts-qml-module,LGPL-2.1-only,89808,271580,2026-08-22T00:57:00Z,2026-08-20T01:27:33Z,2026-08-20T01:27:33Z,accounts-qml-module-0.7-8-x86_64.pkg.tar.zst
custom,android-bash-completion,r45.7b0eece-1,any,"Bash completion for android, adb, emulator, fastboot, and repo",https://github.com/mbrubeck/android-completion,MIT,17379,23779,2026-08-22T00:45:43Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,android-bash-completion-r45.7b0eece-1-any.pkg.tar.zst
custom,android-sdk-build-tools,r37.0.0-2,x86_64,"Build-Tools for Google Android SDK (aapt, aidl, dexdump, dx, llvm-rs-cc)",https://developer.android.com/studio/releases/build-tools,custom,51432122,158066161,2026-08-22T00:44:56Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,android-sdk-build-tools-r37.0.0-2-x86_64.pkg.tar.zst
custom,android-sdk-cmdline-tools-latest,23.0-1,x86_64,Android SDK Command-line Tools (latest),https://developer.android.com/studio,custom,149906840,180609311,2026-08-22T00:44:11Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,android-sdk-cmdline-tools-latest-23.0-1-x86_64.pkg.tar.zst
custom,android-sdk-platform-tools,37.0.1-1,x86_64,Platform-Tools for Google Android SDK (adb and fastboot),http://developer.android.com/sdk/index.html,custom,5806425,20079739,2026-08-22T00:44:02Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,android-sdk-platform-tools-37.0.1-1-x86_64.pkg.tar.zst
custom,aspnet-runtime-preview-bin,1:11.0.0.sdk100preview7.26381.103-2,x86_64,The ASP.NET Core runtime,https://dotnet.microsoft.com,MIT,9023768,26843120,2026-08-21T06:54:23Z,2026-08-21T00:02:46Z,2026-08-21T00:02:46Z,aspnet-runtime-preview-bin-1.11.0.0.sdk100preview7.26381.103-2-x86_64.pkg.tar.zst
custom,aspnet-targeting-pack-preview-bin,1:11.0.0.sdk100preview7.26381.103-2,x86_64,The ASP.NET Core targeting pack,https://dotnet.microsoft.com,MIT,3816133,51274127,2026-08-21T06:54:23Z,2026-08-21T00:02:46Z,2026-08-21T00:02:46Z,aspnet-targeting-pack-preview-bin-1.11.0.0.sdk100preview7.26381.103-2-x86_64.pkg.tar.zst
custom,build2,0.18.1-1,x86_64,build2 build system,https://build2.org/,MIT,7554044,26516275,2026-08-22T00:57:41Z,2026-08-20T01:27:33Z,2026-08-20T01:27:33Z,build2-0.18.1-1-x86_64.pkg.tar.zst
custom,claude-code,2.1.238-1,x86_64,An agentic coding tool that lives in your terminal,https://github.com/anthropics/claude-code,LicenseRef-claude-code,71906116,338864037,2026-08-21T15:14:08Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,claude-code-2.1.238-1-x86_64.pkg.tar.zst
custom,claude-desktop,1.32885.1-1,x86_64,"Official Claude AI desktop app from Anthropic — Chat, Cowork, and Claude Code",https://claude.com/download,LicenseRef-Proprietary,174515956,551534769,2026-08-22T00:25:59Z,2026-08-21T07:04:14Z,2026-08-21T07:04:14Z,claude-desktop-1.32885.1-1-x86_64.pkg.tar.zst
custom,cline-cli,3.0.56-1,x86_64,"Autonomous coding agent CLI - capable of creating/editing files, running commands, using the browser, and more.",https://www.npmjs.com/package/cline,Apache-2.0,51271714,333135132,2026-08-22T00:39:52Z,2026-08-20T23:03:45Z,2026-08-21T07:04:14Z,cline-cli-3.0.56-1-x86_64.pkg.tar.zst
custom,cromite-bin,148.0.7778.168-1,x86_64,Cromite a Bromite fork with ad blocking and privacy enhancements (binary release),https://github.com/uazo/cromite,GPL3,126172709,415503721,2026-08-22T00:37:54Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,cromite-bin-148.0.7778.168-1-x86_64.pkg.tar.zst
custom,dex2jar,2.4.34-1,any,Tools to work with android .dex and java .class files. ThexXTURBOXx's fork.,https://github.com/thexxturboxx/dex2jar,Apache,2822869,3095971,2026-08-22T00:44:00Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,dex2jar-2.4.34-1-any.pkg.tar.zst
custom,dotnet-host-preview-bin,1:11.0.0.sdk100preview7.26381.103-2,x86_64,A generic driver for the .NET Core Command Line Interface,https://dotnet.microsoft.com,MIT,148360,427490,2026-08-21T06:54:23Z,2026-08-21T00:02:46Z,2026-08-21T00:02:46Z,dotnet-host-preview-bin-1.11.0.0.sdk100preview7.26381.103-2-x86_64.pkg.tar.zst
custom,dotnet-runtime-preview-bin,1:11.0.0.sdk100preview7.26381.103-2,x86_64,The .NET Core runtime,https://dotnet.microsoft.com,MIT,28687998,83545513,2026-08-21T06:54:23Z,2026-08-21T00:02:46Z,2026-08-21T00:02:46Z,dotnet-runtime-preview-bin-1.11.0.0.sdk100preview7.26381.103-2-x86_64.pkg.tar.zst
custom,dotnet-sdk-preview-bin,1:11.0.0.sdk100preview7.26381.103-2,x86_64,The .NET Core SDK,https://dotnet.microsoft.com,MIT,84034320,296464799,2026-08-21T06:54:23Z,2026-08-21T00:02:46Z,2026-08-21T00:02:46Z,dotnet-sdk-preview-bin-1.11.0.0.sdk100preview7.26381.103-2-x86_64.pkg.tar.zst
custom,dotnet-targeting-pack-preview-bin,1:11.0.0.sdk100preview7.26381.103-2,x86_64,The .NET Core targeting pack,https://dotnet.microsoft.com,MIT,7874185,57824150,2026-08-21T06:54:23Z,2026-08-21T00:02:46Z,2026-08-21T00:02:46Z,dotnet-targeting-pack-preview-bin-1.11.0.0.sdk100preview7.26381.103-2-x86_64.pkg.tar.zst
custom,electron37-bin,37.10.3-1,x86_64,Build cross platform desktop apps with web technologies — prebuilt,https://electronjs.org,MIT LicenseRef-custom,92865241,328253313,2026-08-22T00:28:11Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,electron37-bin-37.10.3-1-x86_64.pkg.tar.zst
custom,electronwmd-appimage,1.5.3-1,x86_64,Upload music to NetMD MiniDisc devices,https://web.minidisc.wiki/,GPL-2.0-only,128469319,133283544,2026-08-22T00:37:21Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,electronwmd-appimage-1.5.3-1-x86_64.pkg.tar.zst
custom,extract-xiso-git,1:r49.b72e5b6-1,x86_64,xdvdfs (xbox iso) file creation and extraction utility (git package),https://github.com/XboxDev/extract-xiso,LicenseRef-extract-xiso,29166,61879,2026-08-22T00:25:36Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,extract-xiso-git-1.r49.b72e5b6-1-x86_64.pkg.tar.zst
custom,fatx,1.19-1,x86_64,XBox filesystem support for linux,https://sourceforge.net/projects/fatx,GPL-3.0-or-later,227027,555015,2026-08-22T00:32:06Z,2026-08-21T07:04:14Z,2026-08-21T07:04:14Z,fatx-1.19-1-x86_64.pkg.tar.zst
custom,framework-laptop-kmod-dkms-git,r22.6164bc3-1,x86_64,Kernel module to expose more Framework Laptop stuff,https://github.com/DHowett/framework-laptop-kmod,GPL,22149,43030,2026-08-22T00:43:28Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,framework-laptop-kmod-dkms-git-r22.6164bc3-1-x86_64.pkg.tar.zst
custom,fw-fanctrl,1.1.0-1,any,A simple systemd service to better control Framework Laptop's fan(s),https://github.com/TamtamHero/fw-fanctrl,BSD-3,50284,224422,2026-08-22T00:43:03Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,fw-fanctrl-1.1.0-1-any.pkg.tar.zst
custom,fw-fanctrl-gui-bin,0.1.1-1,x86_64,Graphical fan curve editor and tray controller for fw-fanctrl on Framework laptops,https://github.com/jslay88/fw-fanctrl-gui,MIT,3611427,17652208,2026-08-22T00:43:20Z,2026-08-20T23:03:45Z,2026-08-20T23:03:45Z,fw-fanctrl-gui-bin-0.1.1-1-x86_64.pkg.tar.zst
